ServicePoint,Arrivals,Completions,AvgWaitingTime,AvgServiceTime,AvgResponseTime,Utilization,AvgQueueLength,LqPredicted,LqErrorPercent,AvgNumberInSystem,MaxQueueLength
Normal Check-in,12,12,1,663,3,408,5,071,0,349,0,200,0,200,0,00,0,609,2
Self Check-in,16,16,1,282,2,730,4,011,0,373,0,205,0,205,0,00,0,642,2
Regular Security,22,22,3,288,4,206,7,494,0,790,0,723,0,723,0,00,1,649,2
Fast Track Security,6,6,0,000,2,610,2,610,0,134,0,000,0,000,0,00,0,157,0
Customs,8,8,0,000,1,927,1,927,0,132,0,000,0,000,0,00,0,154,0
Boarding,28,28,1,080,2,503,3,583,0,599,0,303,0,303,0,00,1,003,2
